Offering_ID,Supplier,Title,Original_Comment,Extracted_Bulk_String,Status
11|Stk|15.47
21|Stk|14.61",REVIEW_NEEDED
214,nacrystal.com,Schwarzer Turmalin Getrommelte Steine Poliert - Bulk 100g, Titel	Bereich	Preis Bulk	3 - 10	€4.51 Bulk	11 - 20	€4.28 Bulk	21 - 50	€4.04 Bulk	51 +	€3.80,"3|Stk|4.51
11|Stk|4.28
21|Stk|4.04",REVIEW_NEEDED
215,nacrystal.com,Schwarzer Turmalin Getrommelte Steine Poliert - Bulk 500g, Titel	Bereich	Preis Bulk	3 - 10	€4.51 Bulk	11 - 20	€4.28 Bulk	21 - 50	€4.04 Bulk	51 +	€3.80 Copied...,"3|Stk|4.51
11|Stk|4.28
21|Stk|4.04",REVIEW_NEEDED
216,nacrystal.com,Schwarzer Turmalin Getrommelte Steine Poliert - Bulk 1kg, Titel	Bereich	Preis Bulk	3 - 10	€4.51 Bulk	11 - 20	€4.28 Bulk	21 - 50	€4.04 Bulk	51 +	€3.80 Copied...,"3|Stk|4.51
11|Stk|4.28
21|Stk|4.04",REVIEW_NEEDED
217,nacrystal.com,"Schwarzer Turmalin Rohstein Schotter 100g der 1kg oder 5 kg, 1-2cm,  Preis pro 100g", Titel	Bereich	Preis Bulk	3 - 10	€3.09 Bulk	11 - 20	€2.93 Bulk	21 - 50	€2.77 Bulk	51 +	€2.61,"3|Stk|3.09
11|Stk|2.93
21|Stk|2.77",REVIEW_NEEDED
218,nacrystal.com,"Schwarzer Turmalin Rohstein Schotter 100g oder 1kg oder 5 kg, 2-3cm, Preis pro 100g", Titel	Bereich	Preis Bulk	3 - 10	€3.09 Bulk	11 - 20	€2.93 Bulk	21 - 50	€2.77 Bulk	51 +	€2.61 Copied...,"3|Stk|3.09
11|Stk|2.93
21|Stk|2.77",REVIEW_NEEDED
219,nacrystal.com,"Schwarzer Turmalin Rohstein Schotter 100g oder 1kg oder 4kg, 3-5cm, Preis pro 100g", Titel	Bereich	Preis Bulk	3 - 10	€3.09 Bulk	11 - 20	€2.93 Bulk	21 - 50	€2.77 Bulk	51 +	€2.61 Copied...,"3|Stk|3.09
11|Stk|2.93
21|Stk|2.77",REVIEW_NEEDED
220,nacrystal.com,Citrin Kristall Turm Punkt 4-5cm,Titel	Bereich	Preis Bulk	3 - 10	€5.09 Bulk	11 - 20	€4.82 Bulk	21 - 50	€4.55 Bulk	51 +	€4.29 Citrin ...,"3|Stk|5.09
11|Stk|4.82
21|Stk|4.55",REVIEW_NEEDED
221,nacrystal.com,Citrin Kristall Turm Punkt 5-6cm,Titel	Bereich	Preis Bulk	3 - 10	€5.09 Bulk	11 - 20	€4.82 Bulk	21 - 50	€4.55 Bulk	51 +	€4.29 Citrin ...,"3|Stk|5.09
11|Stk|4.82
21|Stk|4.55",REVIEW_NEEDED
222,nacrystal.com,Citrin Kristall Turm Punkt 6-7cm,Titel	Bereich	Preis Bulk	3 - 10	€5.09 Bulk	11 - 20	€4.82 Bulk	21 - 50	€4.55 Bulk	51 +	€4.29 Citrin ...,"3|Stk|5.09
11|Stk|4.82
21|Stk|4.55",REVIEW_NEEDED
223,nacrystal.com,Citrin Kristall Turm Punkt 7-8cm,Titel	Bereich	Preis Bulk	3 - 10	€5.09 Bulk	11 - 20	€4.82 Bulk	21 - 50	€4.55 Bulk	51 +	€4.29 Citrin ...,"3|Stk|5.09
11|Stk|4.82
21|Stk|4.55",REVIEW_NEEDED
228,nacrystal.com,Natürlicher Roh-Citrin-Stab Double Ended 10-20g (gebrochen),"Achtung: Ist laut Foto nicht sauber geschliffen, sondern tw. gebrochen. Titel	Bereich	Preis Bulk	3 ...","3|Stk|2.30
11|Stk|2.18
21|Stk|2.06",REVIEW_NEEDED
229,nacrystal.com,Natürlicher Roh-Citrin-Stab Double Ended 20-40g (gebrochen),"Achtung: Ist laut Foto nicht sauber geschliffen, sondern tw. gebrochen. Titel	Bereich	Preis Bulk	3 ...","3|Stk|2.30
11|Stk|2.18
21|Stk|2.06",REVIEW_NEEDED
230,nacrystal.com,Natürlicher Roh-Citrin-Stab Double Ended 40-60g (gebrochen),"Achtung: Ist laut Foto nicht sauber geschliffen, sondern tw. gebrochen. Titel	Bereich	Preis Bulk	3 ...","3|Stk|2.30
11|Stk|2.18
21|Stk|2.06",REVIEW_NEEDED
231,nacrystal.com,Brasilien Citrin Turm Kristall Energie Stein 5-6cm, Titel	Bereich	Preis Bulk	3 - 10	€5.66 Bulk	11 - 20	€5.37 Bulk	21 - 50	€5.07 Bulk	51 +	€4.77,"3|Stk|5.66
11|Stk|5.37
21|Stk|5.07",REVIEW_NEEDED
232,nacrystal.com,Brasilien Citrin Turm Kristall Energie Stein 6-7cm, Titel	Bereich	Preis Bulk	3 - 10	€5.66 Bulk	11 - 20	€5.37 Bulk	21 - 50	€5.07 Bulk	51 +	€4.77 Copied...,"3|Stk|5.66
11|Stk|5.37
21|Stk|5.07",REVIEW_NEEDED
233,nacrystal.com,Brasilien Citrin Turm Kristall Energie Stein 7-8cm, Titel	Bereich	Preis Bulk	3 - 10	€5.66 Bulk	11 - 20	€5.37 Bulk	21 - 50	€5.07 Bulk	51 +	€4.77 Copied...,"3|Stk|5.66
11|Stk|5.37
